Grapheme	Zhou	Baxter
^dzʰ	^dzʰ	dz
^pʰ	^pʰ	ph
^t	^t	t
^ʔ	^ʔ	ʔ
^tsʰ	^tsʰ	tsh
^ɖʰ	^ɖʰ	dr
^s	^s	s
^ɣ	^ɣ	h
^ţʰ	^ţʰ	trh
^kʰ	^kʰ	kh
^p	^p	p
^bʰ	^bʰ	b
^k	^k	k
^ţ	^ţ	tr
^tɕ	^tɕ	tsy
^n	^n	n
^j	^j	y
^gʰ	^gʰ	g
^l	^l	l
^nʑ	^nʑ	ny
^	^.	h
^ŋ	^ŋ	ng
^m	^m	m
^dʒʰ	^dʒʰ	dzr
^tʰ	^tʰ	th
^dʰ	^dʰ	d
^x	^x	x
^z	^z	z
^ts	^ts	ts
^ʑ	^ʑ	dzy
^tɕʰ	^tɕʰ	tsyh
^dʐʰ	^dʐʰ	zr
^ʧ	^ʧ	tsr
^ɕ	^ɕ	sy
^ʧʰ	^ʧʰ	tsrh
^ʃ	^ʃ	sr
^ɳ	^ɳ	nr
^dʑʰ	^dʑʰ	zy
^pʰĭ	^pʰ-ĭ	ph-j
^ʔĭ	^ʔ-ĭ	ʔ-j
^ti	^t-i	t-.
^tsʰĭ	^tsʰ-ĭ	tsh-j
^ɖʰĭ	^ɖʰ-ĭ	dr-j
^ţʰĭ	^ţʰ-ĭ	trh-j
^kʰĭ	^kʰ-ĭ	kh-j
^pĭ	^p-ĭ	p-j
^bʰi	^bʰ-i	b-.
^ţĭ	^ţ-ĭ	tr-j
^ɣu	^ɣ-u	h-w
^tɕĭ	^tɕ-ĭ	tsy-.
^kĭ	^k-ĭ	k-j
^bʰĭw	^bʰ-ĭw	b-j
^kw	^k-w	k-w
^jĭ	^j-ĭ	y-.
^gʰĭ	^gʰ-ĭ	g-j
^lu	^l-u	l-w
^ĭ	^.-ĭ	h-j
^mĭw	^m-ĭw	m-j
^nʑĭ	^nʑ-ĭ	ny-.
^dʒʰĭ	^dʒʰ-ĭ	dzr-j
^sĭ	^s-ĭ	s-j
^lĭ	^l-ĭ	l-j
^li	^l-i	l-.
^xĭ	^x-ĭ	x-j
^bʰu	^bʰ-u	b-.
^zĭ	^z-ĭ	z-j
^dʰi	^dʰ-i	d-.
^w	^.-w	h-w
^ʑĭ	^ʑ-ĭ	dzy-.
^tɕʰĭ	^tɕʰ-ĭ	tsyh-.
^bʰĭ	^bʰ-ĭ	b-j
^dʐʰĭ	^dʐʰ-ĭ	zr-.
^tsĭ	^ts-ĭ	ts-j
^lĭu	^l-ĭu	l-w
^ʧĭ	^ʧ-ĭ	tsr-.
^ɕĭ	^ɕ-ĭ	sy-.
^kʰĭw	^kʰ-ĭw	kh-jw
^jĭu	^j-ĭu	y-w
^ŋĭw	^ŋ-ĭw	ng-jw
^si	^s-i	s-.
^ku	^k-u	k-w
^mĭ	^m-ĭ	m-j
^dzʰĭw	^dzʰ-ĭw	dz-jw
^ɣi	^ɣ-i	h-.
^ki	^k-i	k-.
^ţĭw	^ţ-ĭw	tr-jw
^tu	^t-u	t-.
^pʰĭw	^pʰ-ĭw	ph-j
^xĭw	^x-ĭw	x-jw
^ʧʰĭ	^ʧʰ-ĭ	tsrh-j
^dzʰi	^dzʰ-i	dz-.
^jĭw	^j-ĭw	y-.
^xw	^x-w	x-w
^dzʰĭ	^dzʰ-ĭ	dz-j
^pĭw	^p-ĭw	p-j
^tsʰi	^tsʰ-i	tsh-.
^pu	^p-u	p-w
^gʰĭw	^gʰ-ĭw	g-jw
^kĭw	^k-ĭw	k-jw
^ʃĭ	^ʃ-ĭ	sr-j
^ŋĭ	^ŋ-ĭ	ng-j
^tɕʰĭw	^tɕʰ-ĭw	tsyh-w
^kʰu	^kʰ-u	kh-w
^kiw	^k-iw	k-w
^ʑĭw	^ʑ-ĭw	dzy-.
^ŋi	^ŋ-i	ng-.
^ɖʰw	^ɖʰ-w	dr-w
^lw	^l-w	l-w
^ɣw	^ɣ-w	h-w
^ŋu	^ŋ-u	ng-w
^ɳĭ	^ɳ-ĭ	nr-j
^mu	^m-u	m-w
^ʔĭw	^ʔ-ĭw	ʔ-jw
^tsu	^ts-u	ts-w
^sĭw	^s-ĭw	s-jw
^dʑʰĭ	^dʑʰ-ĭ	zy-.
^tsʰu	^tsʰ-u	tsh-w
^tɕĭw	^tɕ-ĭw	tsy-w
^ni	^n-i	n-.
^ʔi	^ʔ-i	ʔ-.
^ĭw	^.-ĭw	h-jw
^pi	^p-i	p-.
^tʰi	^tʰ-i	th-.
^kʰw	^kʰ-w	kh-w
^xu	^x-u	x-w
^gʰw	^gʰ-w	g-jw
^ɣiw	^ɣ-iw	h-w
^lĭw	^l-ĭw	l-jw
^su	^s-u	s-w
^zĭu	^z-ĭu	z-w
^dʰu	^dʰ-u	d-w
^ɕw	^ɕ-w	sy-w
^xiw	^x-iw	x-w
^tsi	^ts-i	tsh-j
^tɕĭu	^tɕ-ĭu	tsy-w
^mĭu	^m-ĭu	m-j
^ŋw	^ŋ-w	ng-w
^ɕĭw	^ɕ-ĭw	sy-w
^kʰi	^kʰ-i	kh-.
^mi	^m-i	m-.
^pĭu	^p-ĭu	p-j
^sw	^s-w	s-w
^dzʰu	^dzʰ-u	dz-w
^dʑʰĭu	^dʑʰ-ĭu	zy-w
^dzʰw	^dzʰ-w	dz-w
^ʔw	^ʔ-w	ʔ-w
^tsĭw	^ts-ĭw	ts-j
^ţw	^ţ-w	tr-w
^zw	^z-w	z-w
^ĭu	^.-ĭu	h-j
^tsĭu	^ts-ĭu	ts-w
^jw	^j-w	y-w
^zĭw	^z-ĭw	z-jw
^tsw	^ts-w	ts-w
^kʰiw	^kʰ-iw	kh-w
^tʰu	^tʰ-u	th-w
^tɕw	^tɕ-w	tsy-w
^xi	^x-i	x-.
æ	æ	ea
u	u	u
ə	ə	i
ĕ	ĕ	i
e	e	e
a	a	a
ɑ	ɑ	a
əu	əu	uw
i	i	ij
ɐ	ɐ	æ
ɒi	ɒi	oj
ɐi	ɐi	ɛj
ɛ	ɛ	e
uə	uə	u
au	au	æw
o	o	o
ai	ai	ea
əi	əi	ɨj
ɛu	ɛu	ew
ei	ei	ej
ɑu	ɑu	aw
ɛi	ɛi	ej
ɔ	ɔ	æw
ɒ	ɒ	o
eu	eu	ew
ɑi	ɑi	aj
ie	ie	e
æi	æi	æj
ĭĕ	ĭĕ	i
ĭɛ	ĭɛ	e
ĭu	ĭu	uw
ĭo	ĭo	o
ĭə	ĭə	?
n	n	n
k	k	k
ŋ	ŋ	ng
t	t	t
m	m	m
p	p	p
æn	æ-n	ea-n
uk	u-k	uw-k
əŋ	ə-ŋ	i-ng
ĕt	ĕ-t	i-t
eŋ	e-ŋ	e-ng
aŋ	a-ŋ	a-ng
ɑm	ɑ-m	a-m
ɐŋ	ɐ-ŋ	æ-ng
uŋ	u-ŋ	uw-ng
ɑn	ɑ-n	a-n
ɐp	ɐ-p	o-p
ət	ə-t	o-t
ɛn	ɛ-n	e-n
uən	uə-n	u-n
ɛk	ɛ-k	e-k
ĕn	ĕ-n	i-n
ĕm	ĕ-m	i-m
ɛŋ	ɛ-ŋ	e-ng
ɐt	ɐ-t	o-t
ɐk	ɐ-k	æ-k
en	e-n	e-n
ɑk	ɑ-k	a-k
ɑŋ	ɑ-ŋ	a-ng
ɐn	ɐ-n	o-n
ək	ə-k	i-k
ɛm	ɛ-m	e-m
ĕp	ĕ-p	i-p
æt	æ-t	ɛ-t
em	e-m	e-m
oŋ	o-ŋ	ow-ng
ɐm	ɐ-m	o-m
ɛt	ɛ-t	e-t
at	a-t	æ-t
ɑt	ɑ-t	a-t
ak	a-k	a-k
uət	uə-t	u-t
ɔk	ɔ-k	æw-k
ɒm	ɒ-m	o-m
æk	æ-k	ɛ-k
ɒp	ɒ-p	o-p
ən	ə-n	o-n
ien	ie-n	e-n
an	a-n	æ-n
ɔŋ	ɔ-ŋ	æw-ng
æŋ	æ-ŋ	ea-ng
ek	e-k	e-k
et	e-t	e-t
ɛp	ɛ-p	e-p
ep	e-p	e-p
ok	o-k	ow-k
am	a-m	æ-m
ĭĕn	ĭĕ-n	i-n
ĭɛn	ĭɛ-n	e-n
ap	a-p	æ-p
ɑp	ɑ-p	a-p
ĭuŋ	ĭu-ŋ	uw-ng
ĭuk	ĭ-u-k	j-uw-k
ĭĕt	ĭ-ĕ-t	.-i-t
ieŋ	i-e-ŋ	.-e-ng
ĭaŋ	ĭ-a-ŋ	j-a-ng
ĭəu	ĭ-əu-.	j-uw-.
ĭɐŋ	ĭ-ɐ-ŋ	j-æ-ng
uɑn	u-ɑ-n	w-a-n
ĭwɐp	ĭw-ɐ-p	j-o-p
wɐi	w-ɐi-.	w-ɛj-.
ĭət	ĭ-ə-t	j-ɨ-t
ĭa	ĭ-a-.	.-æ-.
ĭuən	ĭ-uə-n	j-u-n
ĭwaŋ	ĭw-a-ŋ	j-a-ng
ĭɛk	ĭ-ɛ-k	.-e-k
ĭĕm	ĭ-ĕ-m	.-i-m
ĭəŋ	ĭ-ə-ŋ	.-i-ng
ĭɛŋ	ĭ-ɛ-ŋ	.-e-ng
ĭwɐt	ĭw-ɐ-t	jw-o-t
wi	w-i-.	w-ij-.
uɒi	u-ɒi-.	w-oj-.
ĭe	ĭ-e-.	j-e-.
